,Meta,c,a_apc,Apc_Period,Apc_Amplitude
0,n = 15,0.0,0.0,0.0,0.0
1,r = 0.5,0.006030150753768844,0.0,253.24527683451794,0.9999961865332934
2,d = 2,0.012060301507537688,0.0,126.7634439210961,0.999996440261431
3,a_cdk = 9.48,0.018090452261306532,0.0,84.79089987883646,0.9999963407310813
4,eps_apc = 100,0.024120603015075376,0.0,63.832710569021145,0.9999965072644454
5,eps_cdk = 100,0.03015075376884422,0.0,51.26192328581962,0.9999963033100536
6,tstart = 0,0.036180904522613064,0.0,42.89208806027425,0.9999963333744386
7,tend = 60,0.04221105527638191,0.0,36.90214719731992,0.9999964366681018
8,0.0,0.04824120603015075,0.0,32.43931875474869,0.999996501519103
9,0.0,0.054271356783919596,0.0,28.93970223438501,0.9999965476441735
10,0.0,0.06030150753768844,0.0,26.151843314756462,0.9999966213056699
11,0.0,0.06633165829145729,0.0,23.881934143957793,0.9999966091091941
12,0.0,0.07236180904522613,0.0,21.973243149910495,0.999996658464571
13,0.0,0.07839195979899496,0.0,20.367120973598198,0.9999967012312012
14,0.0,0.08442211055276382,0.0,18.99052544627787,0.9999967555903678
15,0.0,0.09045226130653267,0.0,17.800101161968954,0.9999967542386323
16,0.0,0.0964824120603015,0.0,16.75894068913379,0.9999967830338841
17,0.0,0.10251256281407034,0.0,15.838646621513192,0.9999968178969947
18,0.0,0.10854271356783919,0.0,15.02405756794774,0.999996713482277
19,0.0,0.11457286432160804,0.0,14.29969005633031,0.9999968038787402
20,0.0,0.12060301507537688,0.0,13.642288039412467,0.99999669304542
21,0.0,0.12663316582914572,0.0,13.047633414384677,0.9999967904185827
22,0.0,0.13266331658291458,0.0,12.516242112295966,0.9999968589095268
23,0.0,0.13869346733668342,0.0,12.018158701574261,0.9999969183472595
24,0.0,0.14472361809045226,0.0,11.570002671757651,0.9999969119466281
25,0.0,0.1507537688442211,0.0,11.159461207044643,0.9999969408660754
26,0.0,0.15678391959798993,0.0,10.791935975812354,0.9999966323884332
27,0.0,0.1628140703517588,0.0,10.425268959162622,0.9999969224964655
28,0.0,0.16884422110552763,0.0,10.099719910175025,0.9999969242079519
29,0.0,0.17487437185929647,0.0,9.805973070424976,0.9999969383785534
30,0.0,0.18090452261306533,0.0,9.519922605993308,0.9999970260587158
31,0.0,0.18693467336683417,0.0,9.258887485371847,0.9999970795588844
32,0.0,0.192964824120603,0.0,9.013671542190528,0.9999970505040745
33,0.0,0.19899497487437184,0.0,8.79119397625773,0.99999711255694
34,0.0,0.20502512562814068,0.0,8.569257486805542,0.9999971400361575
35,0.0,0.21105527638190955,0.0,8.369706824881668,0.9999971192450978
36,0.0,0.21708542713567838,0.0,8.180600432797803,0.9999971825203036
37,0.0,0.22311557788944722,0.0,8.003694230850265,0.9999970675387861
38,0.0,0.22914572864321608,0.0,7.839740464411985,0.9999971332455706
39,0.0,0.23517587939698492,0.0,7.687392101714912,0.9999972161808577
40,0.0,0.24120603015075376,0.0,7.535881668644819,0.9999971783369639
41,0.0,0.2472361809045226,0.0,7.40866853027884,0.9999971835174455
42,0.0,0.25326633165829143,0.0,7.279909933303243,0.9999972553914642
43,0.0,0.25929648241206027,0.0,7.1694938360281775,0.9999971872575361
44,0.0,0.26532663316582916,0.0,7.105242512963166,0.9999972208476959
45,0.0,0.271356783919598,0.0,0.0,0.0
46,0.0,0.27738693467336684,0.0,0.0,0.0
47,0.0,0.2834170854271357,0.0,0.0,0.0
48,0.0,0.2894472361809045,0.0,0.0,0.0
49,0.0,0.29547738693467335,0.0,0.0,0.0
50,0.0,0.3015075376884422,0.0,0.0,0.0
51,0.0,0.307537688442211,0.0,0.0,0.0
52,0.0,0.31356783919597986,0.0,0.0,0.0
53,0.0,0.31959798994974875,0.0,0.0,0.0
54,0.0,0.3256281407035176,0.0,0.0,0.0
55,0.0,0.3316582914572864,0.0,0.0,0.0
56,0.0,0.33768844221105526,0.0,0.0,0.0
57,0.0,0.3437185929648241,0.0,0.0,0.0
58,0.0,0.34974874371859294,0.0,0.0,0.0
59,0.0,0.3557788944723618,0.0,0.0,0.0
60,0.0,0.36180904522613067,0.0,0.0,0.0
61,0.0,0.3678391959798995,0.0,0.0,0.0
62,0.0,0.37386934673366834,0.0,0.0,0.0
63,0.0,0.3798994974874372,0.0,0.0,0.0
64,0.0,0.385929648241206,0.0,0.0,0.0
65,0.0,0.39195979899497485,0.0,0.0,0.0
66,0.0,0.3979899497487437,0.0,0.0,0.0
67,0.0,0.4040201005025125,0.0,0.0,0.0
68,0.0,0.41005025125628136,0.0,0.0,0.0
69,0.0,0.41608040201005025,0.0,0.0,0.0
70,0.0,0.4221105527638191,0.0,0.0,0.0
71,0.0,0.42814070351758793,0.0,0.0,0.0
72,0.0,0.43417085427135677,0.0,0.0,0.0
73,0.0,0.4402010050251256,0.0,0.0,0.0
74,0.0,0.44623115577889444,0.0,0.0,0.0
75,0.0,0.4522613065326633,0.0,0.0,0.0
76,0.0,0.45829145728643217,0.0,0.0,0.0
77,0.0,0.464321608040201,0.0,0.0,0.0
78,0.0,0.47035175879396984,0.0,0.0,0.0
79,0.0,0.4763819095477387,0.0,0.0,0.0
80,0.0,0.4824120603015075,0.0,0.0,0.0
81,0.0,0.48844221105527635,0.0,0.0,0.0
82,0.0,0.4944723618090452,0.0,0.0,0.0
83,0.0,0.5005025125628141,0.0,0.0,0.0
84,0.0,0.5065326633165829,0.0,0.0,0.0
85,0.0,0.5125628140703518,0.0,0.0,0.0
86,0.0,0.5185929648241205,0.0,0.0,0.0
87,0.0,0.5246231155778894,0.0,0.0,0.0
88,0.0,0.5306532663316583,0.0,0.0,0.0
89,0.0,0.5366834170854271,0.0,0.0,0.0
90,0.0,0.542713567839196,0.0,0.0,0.0
91,0.0,0.5487437185929648,0.0,0.0,0.0
92,0.0,0.5547738693467337,0.0,0.0,0.0
93,0.0,0.5608040201005025,0.0,0.0,0.0
94,0.0,0.5668341708542713,0.0,0.0,0.0
95,0.0,0.5728643216080401,0.0,0.0,0.0
96,0.0,0.578894472361809,0.0,0.0,0.0
