,Meta,c,a_apc,Cdk1_Period,Cdk1_Amplitude
0,n = 15,0.0,0.0,0.0,0.0
1,r = 0.5,0.006030150753768844,0.0,0.0,0.0
2,d = 2,0.012060301507537688,0.0,126.7623424285521,2.5838782565981706
3,a_cdk = 9.48,0.018090452261306532,0.0,84.79249467990553,2.584938549390646
4,eps_apc = 100,0.024120603015075376,0.0,63.83293221581954,2.5857200014300656
5,eps_cdk = 100,0.03015075376884422,0.0,51.26451573403462,2.5863806867786945
6,tstart = 0,0.036180904522613064,0.0,42.88972532230135,2.5872455258437475
7,tend = 60,0.04221105527638191,0.0,36.9091125337943,2.5879698934472897
8,0.0,0.04824120603015075,0.0,32.42570123705177,2.588691441223086
9,0.0,0.054271356783919596,0.0,28.93980576883824,2.589508484746938
10,0.0,0.06030150753768844,0.0,26.151997502366072,2.59008050295151
11,0.0,0.06633165829145729,0.0,23.87321909299954,2.590462581194437
12,0.0,0.07236180904522613,0.0,21.97336086523484,2.591157657442957
13,0.0,0.07839195979899496,0.0,20.367323476245133,2.5919530266560455
14,0.0,0.08442211055276382,0.0,18.991507568483037,2.592489120256106
15,0.0,0.09045226130653267,0.0,17.799984187267313,2.5930767597439184
16,0.0,0.0964824120603015,0.0,16.75838243712549,2.5936494044802574
17,0.0,0.10251256281407034,0.0,15.839930407970456,2.594165372838897
18,0.0,0.10854271356783919,0.0,15.024093094943058,2.594777296952664
19,0.0,0.11457286432160804,0.0,14.295046298626303,2.5952288481711223
20,0.0,0.12060301507537688,0.0,13.639827321920851,2.5957947019039556
21,0.0,0.12663316582914572,0.0,13.04708304404302,2.5962251273976102
22,0.0,0.13266331658291458,0.0,12.509697510484195,2.596809520202212
23,0.0,0.13869346733668342,0.0,12.018857874106722,2.597270381439415
24,0.0,0.14472361809045226,0.0,11.57037632550994,2.5976478836811943
25,0.0,0.1507537688442211,0.0,11.158225648598567,2.598298298525754
26,0.0,0.15678391959798993,0.0,10.778256534657032,2.5987108596809643
27,0.0,0.1628140703517588,0.0,10.427942352370017,2.599158492946378
28,0.0,0.16884422110552763,0.0,10.102767847081985,2.5998201892228385
29,0.0,0.17487437185929647,0.0,9.801038271266565,2.600266165342897
30,0.0,0.18090452261306533,0.0,9.519652261607655,2.600775432347539
31,0.0,0.18693467336683417,0.0,9.25795268393161,2.601143850606277
32,0.0,0.192964824120603,0.0,9.01334429170504,2.601409585891566
33,0.0,0.19899497487437184,0.0,8.784728265933134,2.602065281099999
34,0.0,0.20502512562814068,0.0,8.569996590464111,2.602480753655534
35,0.0,0.21105527638190955,0.0,8.36939787872648,2.602983973903419
36,0.0,0.21708542713567838,0.0,8.180907790392231,2.6034272895518735
37,0.0,0.22311557788944722,0.0,8.004093885932484,2.6039770308931662
38,0.0,0.22914572864321608,0.0,7.838046150418883,2.6043621063344387
39,0.0,0.23517587939698492,0.0,7.682672171342055,2.604793578039729
40,0.0,0.24120603015075376,0.0,7.536942822259107,2.6051239460506737
41,0.0,0.2472361809045226,0.0,7.401803532059778,2.605754818740817
42,0.0,0.25326633165829143,0.0,7.277912668563518,2.606067612588746
43,0.0,0.25929648241206027,0.0,7.167815039820601,2.6065843164001343
44,0.0,0.26532663316582916,0.0,7.1008138937316225,2.6070942442099057
45,0.0,0.271356783919598,0.0,0.0,0.0
46,0.0,0.27738693467336684,0.0,0.0,0.0
47,0.0,0.2834170854271357,0.0,0.0,0.0
48,0.0,0.2894472361809045,0.0,0.0,0.0
49,0.0,0.29547738693467335,0.0,0.0,0.0
50,0.0,0.3015075376884422,0.0,0.0,0.0
51,0.0,0.307537688442211,0.0,0.0,0.0
52,0.0,0.31356783919597986,0.0,0.0,0.0
53,0.0,0.31959798994974875,0.0,0.0,0.0
54,0.0,0.3256281407035176,0.0,0.0,0.0
55,0.0,0.3316582914572864,0.0,0.0,0.0
56,0.0,0.33768844221105526,0.0,0.0,0.0
57,0.0,0.3437185929648241,0.0,0.0,0.0
58,0.0,0.34974874371859294,0.0,0.0,0.0
59,0.0,0.3557788944723618,0.0,0.0,0.0
60,0.0,0.36180904522613067,0.0,0.0,0.0
61,0.0,0.3678391959798995,0.0,0.0,0.0
62,0.0,0.37386934673366834,0.0,0.0,0.0
63,0.0,0.3798994974874372,0.0,0.0,0.0
64,0.0,0.385929648241206,0.0,0.0,0.0
65,0.0,0.39195979899497485,0.0,0.0,0.0
66,0.0,0.3979899497487437,0.0,0.0,0.0
67,0.0,0.4040201005025125,0.0,0.0,0.0
68,0.0,0.41005025125628136,0.0,0.0,0.0
69,0.0,0.41608040201005025,0.0,0.0,0.0
70,0.0,0.4221105527638191,0.0,0.0,0.0
71,0.0,0.42814070351758793,0.0,0.0,0.0
72,0.0,0.43417085427135677,0.0,0.0,0.0
73,0.0,0.4402010050251256,0.0,0.0,0.0
74,0.0,0.44623115577889444,0.0,0.0,0.0
75,0.0,0.4522613065326633,0.0,0.0,0.0
76,0.0,0.45829145728643217,0.0,0.0,0.0
77,0.0,0.464321608040201,0.0,0.0,0.0
78,0.0,0.47035175879396984,0.0,0.0,0.0
79,0.0,0.4763819095477387,0.0,0.0,0.0
80,0.0,0.4824120603015075,0.0,0.0,0.0
81,0.0,0.48844221105527635,0.0,0.0,0.0
82,0.0,0.4944723618090452,0.0,0.0,0.0
83,0.0,0.5005025125628141,0.0,0.0,0.0
84,0.0,0.5065326633165829,0.0,0.0,0.0
85,0.0,0.5125628140703518,0.0,0.0,0.0
86,0.0,0.5185929648241205,0.0,0.0,0.0
87,0.0,0.5246231155778894,0.0,0.0,0.0
