,Meta,c,a_apc,Cyc_Period,Cyc_Amplitude
0,n = 15,0.0,0.0,0.0,0.0
1,r = 0.5,0.006030150753768844,0.0,0.0,0.0
2,d = 2,0.012060301507537688,0.0,126.76279312943245,0.7563915693315346
3,a_cdk = 9.48,0.018090452261306532,0.0,84.7926604766341,0.7565880043975647
4,eps_apc = 100,0.024120603015075376,0.0,63.83270802715714,0.7567463708240353
5,eps_cdk = 100,0.03015075376884422,0.0,51.26446693312559,0.7568823293327143
6,tstart = 0,0.036180904522613064,0.0,42.889263803348896,0.7570028819908021
7,tend = 60,0.04221105527638191,0.0,36.909088358328155,0.7571118256870122
8,0.0,0.04824120603015075,0.0,32.42562858099281,0.7572118616721425
9,0.0,0.054271356783919596,0.0,28.93968401992531,0.7573046463656485
10,0.0,0.06030150753768844,0.0,26.152051635242046,0.7573911696017361
11,0.0,0.06633165829145729,0.0,23.872224212062918,0.7574720935775112
12,0.0,0.07236180904522613,0.0,21.973257879339318,0.7575487307643908
13,0.0,0.07839195979899496,0.0,20.367330647724714,0.7576210008132604
14,0.0,0.08442211055276382,0.0,18.991602043912366,0.7576889646174174
15,0.0,0.09045226130653267,0.0,17.800114871878094,0.7577540288019027
16,0.0,0.0964824120603015,0.0,16.75830585751016,0.7578155053178854
17,0.0,0.10251256281407034,0.0,15.839783635172697,0.7578734062702646
18,0.0,0.10854271356783919,0.0,15.024082861591417,0.7579288499945133
19,0.0,0.11457286432160804,0.0,14.294968648641238,0.7579811058423714
20,0.0,0.12060301507537688,0.0,13.63943557510883,0.7580304999025453
21,0.0,0.12663316582914572,0.0,13.047073154050741,0.7580771874409227
22,0.0,0.13266331658291458,0.0,12.509268658013276,0.7581209927780153
23,0.0,0.13869346733668342,0.0,12.01890323434321,0.7581621764299007
24,0.0,0.14472361809045226,0.0,11.570129370153888,0.7582003387224098
25,0.0,0.1507537688442211,0.0,11.15799856552415,0.7582355637595648
26,0.0,0.15678391959798993,0.0,10.77829602948777,0.7582680633402519
27,0.0,0.1628140703517588,0.0,10.4274571857983,0.7582973086907403
28,0.0,0.16884422110552763,0.0,10.102482083684436,0.7583237612844573
29,0.0,0.17487437185929647,0.0,9.800667790246788,0.7583469577073018
30,0.0,0.18090452261306533,0.0,9.51983445006051,0.7583670450620918
31,0.0,0.18693467336683417,0.0,9.257981976347804,0.7583838907177832
32,0.0,0.192964824120603,0.0,9.013390926686796,0.7583974773023286
33,0.0,0.19899497487437184,0.0,8.784577437798465,0.7584078422317188
34,0.0,0.20502512562814068,0.0,8.570289985630474,0.7584151470147986
35,0.0,0.21105527638190955,0.0,8.369380785507797,0.7584188644930854
36,0.0,0.21708542713567838,0.0,8.180880132873458,0.7584194944370151
37,0.0,0.22311557788944722,0.0,8.004028452894381,0.7584163155944519
38,0.0,0.22914572864321608,0.0,7.838047832424785,0.7584099489415062
39,0.0,0.23517587939698492,0.0,7.682480895839111,0.7583999885046899
40,0.0,0.24120603015075376,0.0,7.537061117115847,0.7583860894395001
41,0.0,0.2472361809045226,0.0,7.401922392969421,0.7583676291794195
42,0.0,0.25326633165829143,0.0,7.277791307183788,0.7583457942036403
43,0.0,0.25929648241206027,0.0,7.167772570467886,0.7583193719964059
44,0.0,0.26532663316582916,0.0,7.100794184314065,0.7582888115109397
45,0.0,0.271356783919598,0.0,0.0,0.0
46,0.0,0.27738693467336684,0.0,0.0,0.0
47,0.0,0.2834170854271357,0.0,0.0,0.0
48,0.0,0.2894472361809045,0.0,0.0,0.0
49,0.0,0.29547738693467335,0.0,0.0,0.0
50,0.0,0.3015075376884422,0.0,0.0,0.0
51,0.0,0.307537688442211,0.0,0.0,0.0
52,0.0,0.31356783919597986,0.0,0.0,0.0
53,0.0,0.31959798994974875,0.0,0.0,0.0
54,0.0,0.3256281407035176,0.0,0.0,0.0
55,0.0,0.3316582914572864,0.0,0.0,0.0
56,0.0,0.33768844221105526,0.0,0.0,0.0
57,0.0,0.3437185929648241,0.0,0.0,0.0
58,0.0,0.34974874371859294,0.0,0.0,0.0
59,0.0,0.3557788944723618,0.0,0.0,0.0
60,0.0,0.36180904522613067,0.0,0.0,0.0
61,0.0,0.3678391959798995,0.0,0.0,0.0
62,0.0,0.37386934673366834,0.0,0.0,0.0
63,0.0,0.3798994974874372,0.0,0.0,0.0
64,0.0,0.385929648241206,0.0,0.0,0.0
65,0.0,0.39195979899497485,0.0,0.0,0.0
66,0.0,0.3979899497487437,0.0,0.0,0.0
67,0.0,0.4040201005025125,0.0,0.0,0.0
68,0.0,0.41005025125628136,0.0,0.0,0.0
69,0.0,0.41608040201005025,0.0,0.0,0.0
70,0.0,0.4221105527638191,0.0,0.0,0.0
71,0.0,0.42814070351758793,0.0,0.0,0.0
72,0.0,0.43417085427135677,0.0,0.0,0.0
73,0.0,0.4402010050251256,0.0,0.0,0.0
74,0.0,0.44623115577889444,0.0,0.0,0.0
75,0.0,0.4522613065326633,0.0,0.0,0.0
76,0.0,0.45829145728643217,0.0,0.0,0.0
77,0.0,0.464321608040201,0.0,0.0,0.0
78,0.0,0.47035175879396984,0.0,0.0,0.0
79,0.0,0.4763819095477387,0.0,0.0,0.0
80,0.0,0.4824120603015075,0.0,0.0,0.0
81,0.0,0.48844221105527635,0.0,0.0,0.0
82,0.0,0.4944723618090452,0.0,0.0,0.0
83,0.0,0.5005025125628141,0.0,0.0,0.0
84,0.0,0.5065326633165829,0.0,0.0,0.0
85,0.0,0.5125628140703518,0.0,0.0,0.0
86,0.0,0.5185929648241205,0.0,0.0,0.0
87,0.0,0.5246231155778894,0.0,0.0,0.0
88,0.0,0.5306532663316583,0.0,0.0,0.0
89,0.0,0.5366834170854271,0.0,0.0,0.0
90,0.0,0.542713567839196,0.0,0.0,0.0
91,0.0,0.5487437185929648,0.0,0.0,0.0
92,0.0,0.5547738693467337,0.0,0.0,0.0
93,0.0,0.5608040201005025,0.0,0.0,0.0
94,0.0,0.5668341708542713,0.0,0.0,0.0
95,0.0,0.5728643216080401,0.0,0.0,0.0
96,0.0,0.578894472361809,0.0,0.0,0.0
97,0.0,0.5849246231155779,0.0,0.0,0.0
98,0.0,0.5909547738693467,0.0,0.0,0.0
99,0.0,0.5969849246231156,0.0,0.0,0.0
100,0.0,0.6030150753768844,0.0,0.0,0.0
101,0.0,0.6090452261306533,0.0,0.0,0.0
102,0.0,0.615075376884422,0.0,0.0,0.0
103,0.0,0.6211055276381909,0.0,0.0,0.0
104,0.0,0.6271356783919597,0.0,0.0,0.0
105,0.0,0.6331658291457286,0.0,0.0,0.0
106,0.0,0.6391959798994975,0.0,0.0,0.0
107,0.0,0.6452261306532663,0.0,0.0,0.0
108,0.0,0.6512562814070352,0.0,0.0,0.0
109,0.0,0.657286432160804,0.0,0.0,0.0
110,0.0,0.6633165829145728,0.0,0.0,0.0
111,0.0,0.6693467336683416,0.0,0.0,0.0
112,0.0,0.6753768844221105,0.0,0.0,0.0
113,0.0,0.6814070351758794,0.0,0.0,0.0
114,0.0,0.6874371859296482,0.0,0.0,0.0
115,0.0,0.6934673366834171,0.0,0.0,0.0
116,0.0,0.6994974874371859,0.0,0.0,0.0
117,0.0,0.7055276381909548,0.0,0.0,0.0
118,0.0,0.7115577889447235,0.0,0.0,0.0
119,0.0,0.7175879396984924,0.0,0.0,0.0
120,0.0,0.7236180904522613,0.0,0.0,0.0
121,0.0,0.7296482412060301,0.0,0.0,0.0
122,0.0,0.735678391959799,0.0,0.0,0.0
123,0.0,0.7417085427135678,0.0,0.0,0.0
124,0.0,0.7477386934673367,0.0,0.0,0.0
125,0.0,0.7537688442211055,0.0,0.0,0.0
126,0.0,0.7597989949748744,0.0,0.0,0.0
127,0.0,0.7658291457286431,0.0,0.0,0.0
128,0.0,0.771859296482412,0.0,0.0,0.0
129,0.0,0.7778894472361809,0.0,0.0,0.0
130,0.0,0.7839195979899497,0.0,0.0,0.0
131,0.0,0.7899497487437186,0.0,0.0,0.0
132,0.0,0.7959798994974874,0.0,0.0,0.0
133,0.0,0.8020100502512563,0.0,0.0,0.0
134,0.0,0.808040201005025,0.0,0.0,0.0
135,0.0,0.8140703517587939,0.0,0.0,0.0
136,0.0,0.8201005025125627,0.0,0.0,0.0
137,0.0,0.8261306532663316,0.0,0.0,0.0
138,0.0,0.8321608040201005,0.0,0.0,0.0
139,0.0,0.8381909547738693,0.0,0.0,0.0
140,0.0,0.8442211055276382,0.0,0.0,0.0
141,0.0,0.850251256281407,0.0,0.0,0.0
142,0.0,0.8562814070351759,0.0,0.0,0.0
143,0.0,0.8623115577889446,0.0,0.0,0.0
144,0.0,0.8683417085427135,0.0,0.0,0.0
145,0.0,0.8743718592964824,0.0,0.0,0.0
146,0.0,0.8804020100502512,0.0,0.0,0.0
147,0.0,0.8864321608040201,0.0,0.0,0.0
148,0.0,0.8924623115577889,0.0,0.0,0.0
149,0.0,0.8984924623115578,0.0,0.0,0.0
150,0.0,0.9045226130653266,0.0,0.0,0.0
151,0.0,0.9105527638190954,0.0,0.0,0.0
152,0.0,0.9165829145728643,0.0,0.0,0.0
153,0.0,0.9226130653266331,0.0,0.0,0.0
154,0.0,0.928643216080402,0.0,0.0,0.0
155,0.0,0.9346733668341708,0.0,0.0,0.0
156,0.0,0.9407035175879397,0.0,0.0,0.0
157,0.0,0.9467336683417085,0.0,0.0,0.0
158,0.0,0.9527638190954774,0.0,0.0,0.0
159,0.0,0.9587939698492461,0.0,0.0,0.0
160,0.0,0.964824120603015,0.0,0.0,0.0
161,0.0,0.9708542713567839,0.0,0.0,0.0
162,0.0,0.9768844221105527,0.0,0.0,0.0
163,0.0,0.9829145728643216,0.0,0.0,0.0
164,0.0,0.9889447236180904,0.0,0.0,0.0
165,0.0,0.9949748743718593,0.0,0.0,0.0
166,0.0,1.0010050251256282,0.0,0.0,0.0
167,0.0,1.007035175879397,0.0,0.0,0.0
168,0.0,1.0130653266331657,0.0,0.0,0.0
169,0.0,1.0190954773869347,0.0,0.0,0.0
170,0.0,1.0251256281407035,0.0,0.0,0.0
171,0.0,1.0311557788944723,0.0,0.0,0.0
172,0.0,1.037185929648241,0.0,0.0,0.0
173,0.0,1.04321608040201,0.0,0.0,0.0
174,0.0,1.0492462311557789,0.0,0.0,0.0
175,0.0,1.0552763819095476,0.0,0.0,0.0
176,0.0,1.0613065326633166,0.0,0.0,0.0
177,0.0,1.0673366834170854,0.0,0.0,0.0
178,0.0,1.0733668341708542,0.0,0.0,0.0
179,0.0,1.079396984924623,0.0,0.0,0.0
180,0.0,1.085427135678392,0.0,0.0,0.0
181,0.0,1.0914572864321608,0.0,0.0,0.0
182,0.0,1.0974874371859296,0.0,0.0,0.0
183,0.0,1.1035175879396983,0.0,0.0,0.0
184,0.0,1.1095477386934673,0.0,0.0,0.0
185,0.0,1.1155778894472361,0.0,0.0,0.0
186,0.0,1.121608040201005,0.0,0.0,0.0
187,0.0,1.127638190954774,0.0,0.0,0.0
188,0.0,1.1336683417085427,0.0,0.0,0.0
189,0.0,1.1396984924623115,0.0,0.0,0.0
190,0.0,1.1457286432160803,0.0,0.0,0.0
