,Meta,c,a_apc,Apc_Period,Apc_Amplitude
102,0.0,0.7688442211055276,0.0,0.0,0.0
103,0.0,0.7763819095477387,0.0,0.0,0.0
104,0.0,0.7839195979899497,0.0,0.0,0.0
105,0.0,0.7914572864321607,0.0,0.0,0.0
106,0.0,0.7989949748743719,0.0,0.0,0.0
107,0.0,0.8065326633165829,0.0,0.0,0.0
108,0.0,0.8140703517587939,0.0,0.0,0.0
109,0.0,0.821608040201005,0.0,0.0,0.0
110,0.0,0.829145728643216,0.0,0.0,0.0
111,0.0,0.8366834170854272,0.0,0.0,0.0
112,0.0,0.8442211055276382,0.0,0.0,0.0
113,0.0,0.8517587939698492,0.0,0.0,0.0
114,0.0,0.8592964824120602,0.0,0.0,0.0
115,0.0,0.8668341708542713,0.0,0.0,0.0
116,0.0,0.8743718592964824,0.0,0.0,0.0
117,0.0,0.8819095477386935,0.0,0.0,0.0
118,0.0,0.8894472361809045,0.0,0.0,0.0
119,0.0,0.8969849246231155,0.0,0.0,0.0
120,0.0,0.9045226130653266,0.0,0.0,0.0
121,0.0,0.9120603015075377,0.0,0.0,0.0
122,0.0,0.9195979899497487,0.0,0.0,0.0
123,0.0,0.9271356783919598,0.0,0.0,0.0
124,0.0,0.9346733668341708,0.0,0.0,0.0
125,0.0,0.9422110552763818,0.0,0.0,0.0
126,0.0,0.949748743718593,0.0,0.0,0.0
127,0.0,0.957286432160804,0.0,0.0,0.0
128,0.0,0.964824120603015,0.0,0.0,0.0
129,0.0,0.9723618090452261,0.0,0.0,0.0
130,0.0,0.9798994974874371,0.0,0.0,0.0
131,0.0,0.9874371859296482,0.0,0.0,0.0
132,0.0,0.9949748743718593,0.0,0.0,0.0
133,0.0,1.0025125628140703,0.0,0.0,0.0
134,0.0,1.0100502512562815,0.0,0.0,0.0
135,0.0,1.0175879396984924,0.0,0.0,0.0
136,0.0,1.0251256281407035,0.0,0.0,0.0
137,0.0,1.0326633165829144,0.0,0.0,0.0
138,0.0,1.0402010050251256,0.0,0.0,0.0
139,0.0,1.0477386934673367,0.0,0.0,0.0
140,0.0,1.0552763819095476,0.0,0.0,0.0
141,0.0,1.0628140703517588,0.0,0.0,0.0
142,0.0,1.0703517587939697,0.0,0.0,0.0
143,0.0,1.0778894472361809,0.0,0.0,0.0
144,0.0,1.085427135678392,0.0,0.0,0.0
145,0.0,1.092964824120603,0.0,0.0,0.0
146,0.0,1.100502512562814,0.0,0.0,0.0
147,0.0,1.108040201005025,0.0,0.0,0.0
148,0.0,1.1155778894472361,0.0,0.0,0.0
149,0.0,1.1231155778894473,0.0,0.0,0.0
150,0.0,1.1306532663316582,0.0,0.0,0.0
151,0.0,1.1381909547738693,0.0,0.0,0.0
152,0.0,1.1457286432160803,0.0,0.0,0.0
153,0.0,1.1532663316582914,0.0,0.0,0.0
154,0.0,1.1608040201005025,0.0,0.0,0.0
155,0.0,1.1683417085427135,0.0,0.0,0.0
156,0.0,1.1758793969849246,0.0,0.0,0.0
157,0.0,1.1834170854271355,0.0,0.0,0.0
158,0.0,1.1909547738693467,0.0,0.0,0.0
159,0.0,1.1984924623115578,0.0,0.0,0.0
160,0.0,1.2060301507537687,0.0,0.0,0.0
161,0.0,1.2135678391959799,0.0,0.0,0.0
162,0.0,1.2211055276381908,0.0,0.0,0.0
163,0.0,1.228643216080402,0.0,0.0,0.0
164,0.0,1.236180904522613,0.0,0.0,0.0
165,0.0,1.243718592964824,0.0,0.0,0.0
166,0.0,1.2512562814070352,0.0,0.0,0.0
167,0.0,1.258793969849246,0.0,0.0,0.0
168,0.0,1.2663316582914572,0.0,0.0,0.0
169,0.0,1.2738693467336684,0.0,0.0,0.0
170,0.0,1.2814070351758793,0.0,0.0,0.0
171,0.0,1.2889447236180904,0.0,0.0,0.0
172,0.0,1.2964824120603013,0.0,0.0,0.0
173,0.0,1.3040201005025125,0.0,0.0,0.0
174,0.0,1.3115577889447236,0.0,0.0,0.0
175,0.0,1.3190954773869346,0.0,0.0,0.0
176,0.0,1.3266331658291457,0.0,0.0,0.0
177,0.0,1.3341708542713566,0.0,0.0,0.0
178,0.0,1.3417085427135678,0.0,0.0,0.0
179,0.0,1.349246231155779,0.0,0.0,0.0
180,0.0,1.3567839195979898,0.0,0.0,0.0
181,0.0,1.364321608040201,0.0,0.0,0.0
182,0.0,1.371859296482412,0.0,0.0,0.0
183,0.0,1.379396984924623,0.0,0.0,0.0
184,0.0,1.3869346733668342,0.0,0.0,0.0
185,0.0,1.394472361809045,0.0,0.0,0.0
186,0.0,1.4020100502512562,0.0,0.0,0.0
187,0.0,1.4095477386934672,0.0,0.0,0.0
188,0.0,1.4170854271356783,0.0,0.0,0.0
189,0.0,1.4246231155778895,0.0,0.0,0.0
190,0.0,1.4321608040201004,0.0,0.0,0.0
191,0.0,1.4396984924623115,0.0,0.0,0.0
192,0.0,1.4472361809045227,0.0,0.0,0.0
193,0.0,1.4547738693467336,0.0,0.0,0.0
194,0.0,1.4623115577889447,0.0,0.0,0.0
195,0.0,1.4698492462311556,0.0,0.0,0.0
196,0.0,1.4773869346733668,0.0,0.0,0.0
197,0.0,1.484924623115578,0.0,0.0,0.0
198,0.0,1.4924623115577889,0.0,0.0,0.0
199,0.0,1.5,0.0,0.0,0.0
200,0.0,0.0,0.08,0.0,0.0
201,0.0,0.007537688442211055,0.08,0.0,0.0
202,0.0,0.01507537688442211,0.08,0.0,0.0
203,0.0,0.022613065326633167,0.08,0.0,0.0
204,0.0,0.03015075376884422,0.08,0.0,0.0
205,0.0,0.03768844221105527,0.08,0.0,0.0
206,0.0,0.04522613065326633,0.08,0.0,0.0
207,0.0,0.052763819095477386,0.08,0.0,0.0
208,0.0,0.06030150753768844,0.08,0.0,0.0
209,0.0,0.0678391959798995,0.08,0.0,0.0
210,0.0,0.07537688442211055,0.08,0.0,0.0
211,0.0,0.0829145728643216,0.08,0.0,0.0
212,0.0,0.09045226130653267,0.08,0.0,0.0
213,0.0,0.09798994974874371,0.08,0.0,0.0
214,0.0,0.10552763819095477,0.08,0.0,0.0
215,0.0,0.11306532663316582,0.08,0.0,0.0
216,0.0,0.12060301507537688,0.08,0.0,0.0
217,0.0,0.12814070351758794,0.08,0.0,0.0
218,0.0,0.135678391959799,0.08,0.0,0.0
219,0.0,0.14321608040201003,0.08,0.0,0.0
220,0.0,0.1507537688442211,0.08,0.0,0.0
221,0.0,0.15829145728643215,0.08,0.0,0.0
222,0.0,0.1658291457286432,0.08,0.0,0.0
223,0.0,0.17336683417085427,0.08,0.0,0.0
224,0.0,0.18090452261306533,0.08,0.0,0.0
225,0.0,0.18844221105527637,0.08,0.0,0.0
226,0.0,0.19597989949748743,0.08,0.0,0.0
227,0.0,0.20351758793969849,0.08,0.0,0.0
228,0.0,0.21105527638190955,0.08,0.0,0.0
229,0.0,0.2185929648241206,0.08,0.0,0.0
230,0.0,0.22613065326633164,0.08,0.0,0.0
231,0.0,0.2336683417085427,0.08,0.0,0.0
232,0.0,0.24120603015075376,0.08,0.0,0.0
233,0.0,0.24874371859296482,0.08,0.0,0.0
234,0.0,0.2562814070351759,0.08,0.0,0.0
235,0.0,0.2638190954773869,0.08,0.0,0.0
236,0.0,0.271356783919598,0.08,0.0,0.0
237,0.0,0.27889447236180903,0.08,0.0,0.0
238,0.0,0.28643216080402006,0.08,0.0,0.0
239,0.0,0.29396984924623115,0.08,0.0,0.0
240,0.0,0.3015075376884422,0.08,0.0,0.0
241,0.0,0.30904522613065327,0.08,0.0,0.0
242,0.0,0.3165829145728643,0.08,0.0,0.0
243,0.0,0.32412060301507534,0.08,0.0,0.0
244,0.0,0.3316582914572864,0.08,0.0,0.0
