,Meta,c,a,N_ss,SS_pos,Apc_Period,Apc_Amplitude
0,n = 15,0.0,0.0,0.0,0.0,0.0,0.0
1,r = 0.75,0.0,0.48842455827610365,0.0,0.0,0.0,0.0
2,eps = 100,0.0,0.9768491165522073,0.0,0.0,0.0,0.0
3,tstart = 0,0.0,1.4652736748283108,0.0,0.0,0.0,0.0
4,tend = 100,0.0,1.9536982331044146,0.0,0.0,0.0,0.0
5,0.0,0.0,2.4421227913805184,0.0,0.0,0.0,0.0
6,0.0,0.0,2.9305473496566217,0.0,0.0,0.0,0.0
7,0.0,0.0,3.4189719079327254,0.0,0.0,0.0,0.0
8,0.0,0.0,3.907396466208829,0.0,0.0,0.0,0.0
9,0.0,0.0,4.395821024484933,0.0,0.0,0.0,0.0
10,0.0,0.0,4.884245582761037,0.0,0.0,0.0,0.0
11,0.0,0.0,5.3726701410371405,0.0,0.0,0.0,0.0
12,0.0,0.0,5.861094699313243,0.0,0.0,0.0,0.0
13,0.0,0.0,6.349519257589347,0.0,0.0,0.0,0.0
14,0.0,0.0,6.837943815865451,0.0,0.0,0.0,0.0
15,0.0,0.0,7.326368374141555,0.0,0.0,0.0,0.0
16,0.0,0.0,7.814792932417658,0.0,0.0,0.0,0.0
17,0.0,0.0,8.303217490693761,0.0,0.0,0.0,0.0
18,0.0,0.0,8.791642048969866,0.0,0.0,0.0,0.0
19,0.0,0.0,9.280066607245969,0.0,0.0,0.0,0.0
20,0.0,0.0,9.768491165522073,0.0,0.0,0.0,0.0
21,0.0,0.0,10.256915723798176,0.0,0.0,0.0,0.0
22,0.0,0.0,10.745340282074281,0.0,0.0,0.0,0.0
23,0.0,0.0,11.233764840350384,0.0,0.0,0.0,0.0
24,0.0,0.0,11.722189398626487,0.0,0.0,0.0,0.0
25,0.0,0.0,12.210613956902591,0.0,0.0,0.0,0.0
26,0.0,0.0,12.699038515178694,0.0,0.0,0.0,0.0
27,0.0,0.0,13.187463073454799,0.0,0.0,0.0,0.0
28,0.0,0.0,13.675887631730902,0.0,0.0,0.0,0.0
29,0.0,0.0,14.164312190007006,0.0,0.0,0.0,0.0
30,0.0,0.0,14.65273674828311,0.0,0.0,0.0,0.0
31,0.0,0.0,15.141161306559214,0.0,0.0,0.0,0.0
32,0.0,0.0,15.629585864835317,0.0,0.0,0.0,0.0
33,0.0,0.0,16.11801042311142,0.0,0.0,0.0,0.0
34,0.0,0.0,16.606434981387522,0.0,0.0,0.0,0.0
35,0.0,0.0,17.094859539663627,0.0,0.0,0.0,0.0
36,0.0,0.0,17.583284097939732,0.0,0.0,0.0,0.0
37,0.0,0.0,18.071708656215836,0.0,0.0,0.0,0.0
38,0.0,0.0,18.560133214491938,0.0,0.0,0.0,0.0
39,0.0,0.0,19.048557772768042,0.0,0.0,0.0,0.0
40,0.0,0.0,19.536982331044147,0.0,0.0,0.0,0.0
41,0.0,0.0,20.025406889320248,0.0,0.0,0.0,0.0
42,0.0,0.0,20.513831447596353,0.0,0.0,0.0,0.0
43,0.0,0.0,21.002256005872457,0.0,0.0,0.0,0.0
44,0.0,0.0,21.490680564148562,0.0,0.0,0.0,0.0
45,0.0,0.0,21.979105122424663,0.0,0.0,0.0,0.0
46,0.0,0.0,22.467529680700768,0.0,0.0,0.0,0.0
47,0.0,0.0,22.955954238976872,0.0,0.0,0.0,0.0
48,0.0,0.0,23.444378797252973,0.0,0.0,0.0,0.0
49,0.0,0.0,23.932803355529078,0.0,0.0,0.0,0.0
50,0.0,0.0,24.421227913805183,0.0,0.0,0.0,0.0
51,0.0,0.0,24.909652472081287,0.0,0.0,0.0,0.0
52,0.0,0.0,25.39807703035739,0.0,0.0,0.0,0.0
53,0.0,0.0,25.886501588633493,0.0,0.0,0.0,0.0
54,0.0,0.0,26.374926146909598,0.0,0.0,0.0,0.0
55,0.0,0.0,26.863350705185702,0.0,0.0,0.0,0.0
56,0.0,0.0,27.351775263461803,0.0,0.0,0.0,0.0
57,0.0,0.0,27.840199821737908,0.0,0.0,0.0,0.0
58,0.0,0.0,28.328624380014013,0.0,0.0,0.0,0.0
59,0.0,0.0,28.817048938290114,0.0,0.0,0.0,0.0
60,0.0,0.0,29.30547349656622,0.0,0.0,0.0,0.0
61,0.0,0.0,29.793898054842323,0.0,0.0,0.0,0.0
62,0.0,0.0,30.282322613118428,0.0,0.0,0.0,0.0
63,0.0,0.0,30.77074717139453,0.0,0.0,0.0,0.0
64,0.0,0.0,31.259171729670634,0.0,0.0,0.0,0.0
65,0.0,0.0,31.747596287946738,0.0,0.0,0.0,0.0
66,0.0,0.0,32.23602084622284,0.0,0.0,0.0,0.0
67,0.0,0.0,32.724445404498944,0.0,0.0,0.0,0.0
68,0.0,0.0,33.212869962775045,0.0,0.0,0.0,0.0
69,0.0,0.0,33.70129452105115,0.0,0.0,0.0,0.0
70,0.0,0.0,34.189719079327254,0.0,0.0,0.0,0.0
71,0.0,0.0,34.67814363760336,0.0,0.0,0.0,0.0
72,0.0,0.0,35.166568195879464,0.0,0.0,0.0,0.0
73,0.0,0.0,35.654992754155565,0.0,0.0,0.0,0.0
74,0.0,0.0,36.14341731243167,0.0,0.0,0.0,0.0
75,0.0,0.0,36.631841870707774,0.0,0.0,0.0,0.0
76,0.0,0.0,37.120266428983875,0.0,0.0,0.0,0.0
77,0.0,0.0,37.60869098725998,0.0,0.0,0.0,0.0
78,0.0,0.0,38.097115545536084,0.0,0.0,0.0,0.0
79,0.0,0.0,38.585540103812185,0.0,0.0,0.0,0.0
80,0.0,0.0,39.073964662088294,0.0,0.0,0.0,0.0
81,0.0,0.0,39.562389220364395,0.0,0.0,0.0,0.0
82,0.0,0.0,40.050813778640496,0.0,0.0,0.0,0.0
83,0.0,0.0,40.539238336916604,0.0,0.0,0.0,0.0
84,0.0,0.0,41.027662895192705,0.0,0.0,0.0,0.0
85,0.0,0.0,41.51608745346881,0.0,0.0,0.0,0.0
86,0.0,0.0,42.004512011744914,0.0,0.0,0.0,0.0
87,0.0,0.0,42.492936570021016,0.0,0.0,0.0,0.0
88,0.0,0.0,42.981361128297124,0.0,0.0,0.0,0.0
89,0.0,0.0,43.469785686573225,0.0,0.0,0.0,0.0
90,0.0,0.0,43.958210244849326,0.0,0.0,0.0,0.0
91,0.0,0.0,44.446634803125434,0.0,0.0,0.0,0.0
92,0.0,0.0,44.935059361401535,0.0,0.0,0.0,0.0
93,0.0,0.0,45.423483919677636,0.0,0.0,0.0,0.0
94,0.0,0.0,45.911908477953745,0.0,0.0,0.0,0.0
95,0.0,0.0,46.400333036229846,0.0,0.0,0.0,0.0
96,0.0,0.0,46.88875759450595,0.0,0.0,0.0,0.0
97,0.0,0.0,47.377182152782055,0.0,0.0,0.0,0.0
98,0.0,0.0,47.865606711058156,0.0,0.0,0.0,0.0
99,0.0,0.0,48.354031269334264,0.0,0.0,0.0,0.0
100,0.0,0.0,48.842455827610365,0.0,0.0,0.0,0.0
101,0.0,0.0,49.330880385886466,0.0,0.0,0.0,0.0
102,0.0,0.0,49.819304944162575,0.0,0.0,0.0,0.0
103,0.0,0.0,50.307729502438676,0.0,0.0,0.0,0.0
104,0.0,0.0,50.79615406071478,0.0,0.0,0.0,0.0
