,Meta,c,a,N_ss,SS_pos,Apc_Period,Apc_Amplitude
80,0.0,0.0,16.795644194607295,0.0,0.0,0.0,0.0
81,0.0,0.0,17.00558974703989,0.0,0.0,0.0,0.0
82,0.0,0.0,17.215535299472478,0.0,0.0,0.0,0.0
83,0.0,0.0,17.425480851905068,0.0,0.0,0.0,0.0
84,0.0,0.0,17.63542640433766,0.0,0.0,0.0,0.0
85,0.0,0.0,17.84537195677025,0.0,0.0,0.0,0.0
86,0.0,0.0,18.055317509202844,0.0,0.0,0.0,0.0
87,0.0,0.0,18.265263061635434,0.0,0.0,0.0,0.0
88,0.0,0.0,18.475208614068023,0.0,0.0,0.0,0.0
89,0.0,0.0,18.685154166500617,0.0,0.0,0.0,0.0
90,0.0,0.0,18.895099718933206,0.0,0.0,0.0,0.0
91,0.0,0.0,19.1050452713658,0.0,0.0,0.0,0.0
92,0.0,0.0,19.31499082379839,0.0,0.0,0.0,0.0
93,0.0,0.0,19.524936376230983,0.0,0.0,0.0,0.0
94,0.0,0.0,19.734881928663572,0.0,0.0,0.0,0.0
95,0.0,0.0,19.944827481096162,0.0,0.0,0.0,0.0
96,0.0,0.0,20.154773033528755,0.0,0.0,0.0,0.0
97,0.0,0.0,20.364718585961345,0.0,0.0,0.0,0.0
98,0.0,0.0,20.57466413839394,0.0,0.0,0.0,0.0
99,0.0,0.0,20.784609690826528,0.0,0.0,0.0,0.0
100,0.0,0.012121212121212121,0.0,1.0,0.0,0.0,0.0
101,0.0,0.012121212121212121,0.2099455524325912,1.0,Bottom,0.0,0.0
102,0.0,0.012121212121212121,0.4198911048651824,1.0,Bottom,0.0,0.0
103,0.0,0.012121212121212121,0.6298366572977736,1.0,Bottom,0.0,0.0
104,0.0,0.012121212121212121,0.8397822097303648,1.0,Bottom,0.0,0.0
105,0.0,0.012121212121212121,1.049727762162956,1.0,Bottom,0.0,0.0
106,0.0,0.012121212121212121,1.2596733145955472,1.0,Bottom,0.0,0.0
107,0.0,0.012121212121212121,1.4696188670281383,1.0,Bottom,0.0,0.0
108,0.0,0.012121212121212121,1.6795644194607295,1.0,Bottom,0.0,0.0
109,0.0,0.012121212121212121,1.8895099718933208,1.0,Bottom,0.0,0.0
110,0.0,0.012121212121212121,2.099455524325912,1.0,Bottom,0.0,0.0
111,0.0,0.012121212121212121,2.309401076758503,1.0,Bottom,0.0,0.0
112,0.0,0.012121212121212121,2.5193466291910944,1.0,Bottom,0.0,0.0
113,0.0,0.012121212121212121,2.7292921816236855,1.0,Bottom,0.0,0.0
114,0.0,0.012121212121212121,2.9392377340562765,1.0,Bottom,0.0,0.0
115,0.0,0.012121212121212121,3.149183286488868,1.0,Bottom,0.0,0.0
116,0.0,0.012121212121212121,3.359128838921459,1.0,Bottom,0.0,0.0
117,0.0,0.012121212121212121,3.56907439135405,1.0,Bottom,0.0,0.0
118,0.0,0.012121212121212121,3.7790199437866416,1.0,Bottom,0.0,0.0
119,0.0,0.012121212121212121,3.9889654962192327,1.0,Bottom,0.0,0.0
120,0.0,0.012121212121212121,4.198911048651824,1.0,Bottom,0.0,0.0
121,0.0,0.012121212121212121,4.408856601084415,1.0,Bottom,0.0,0.0
122,0.0,0.012121212121212121,4.618802153517006,1.0,Bottom,0.0,0.0
123,0.0,0.012121212121212121,4.828747705949597,1.0,Bottom,0.0,0.0
124,0.0,0.012121212121212121,5.038693258382189,1.0,Bottom,0.0,0.0
125,0.0,0.012121212121212121,5.2486388108147795,1.0,Bottom,0.0,0.0
126,0.0,0.012121212121212121,5.458584363247371,1.0,Bottom,0.0,0.0
127,0.0,0.012121212121212121,5.6685299156799624,1.0,Bottom,0.0,0.0
128,0.0,0.012121212121212121,5.878475468112553,1.0,Bottom,0.0,0.0
129,0.0,0.012121212121212121,6.088421020545145,1.0,Bottom,0.0,0.0
130,0.0,0.012121212121212121,6.298366572977736,1.0,Bottom,0.0,0.0
131,0.0,0.012121212121212121,6.508312125410327,1.0,Bottom,0.0,0.0
132,0.0,0.012121212121212121,6.718257677842918,1.0,Bottom,0.0,0.0
133,0.0,0.012121212121212121,6.92820323027551,1.0,Bottom,0.0,0.0
134,0.0,0.012121212121212121,7.1381487827081,1.0,Bottom,0.0,0.0
135,0.0,0.012121212121212121,7.348094335140692,1.0,Bottom,0.0,0.0
136,0.0,0.012121212121212121,7.558039887573283,1.0,Bottom,0.0,0.0
137,0.0,0.012121212121212121,7.767985440005874,1.0,Bottom,0.0,0.0
138,0.0,0.012121212121212121,7.977930992438465,1.0,Bottom,0.0,0.0
139,0.0,0.012121212121212121,8.187876544871056,1.0,Bottom,0.0,0.0
140,0.0,0.012121212121212121,8.397822097303647,1.0,Bottom,0.0,0.0
141,0.0,0.012121212121212121,8.607767649736239,1.0,Bottom,0.0,0.0
142,0.0,0.012121212121212121,8.81771320216883,1.0,Bottom,0.0,0.0
143,0.0,0.012121212121212121,9.027658754601422,1.0,Bottom,0.0,0.0
144,0.0,0.012121212121212121,9.237604307034012,1.0,Bottom,0.0,0.0
145,0.0,0.012121212121212121,9.447549859466603,1.0,Bottom,0.0,0.0
146,0.0,0.012121212121212121,9.657495411899195,1.0,Bottom,0.0,0.0
147,0.0,0.012121212121212121,9.867440964331786,1.0,Bottom,0.0,0.0
148,0.0,0.012121212121212121,10.077386516764378,1.0,Bottom,0.0,0.0
149,0.0,0.012121212121212121,10.28733206919697,1.0,Bottom,0.0,0.0
150,0.0,0.012121212121212121,10.497277621629559,1.0,Bottom,0.0,0.0
151,0.0,0.012121212121212121,10.70722317406215,1.0,Bottom,0.0,0.0
152,0.0,0.012121212121212121,10.917168726494742,1.0,Bottom,0.0,0.0
153,0.0,0.012121212121212121,11.127114278927333,1.0,Bottom,0.0,0.0
154,0.0,0.012121212121212121,11.337059831359925,1.0,Bottom,0.0,0.0
155,0.0,0.012121212121212121,11.547005383792516,1.0,Bottom,0.0,0.0
156,0.0,0.012121212121212121,11.756950936225106,1.0,Bottom,0.0,0.0
157,0.0,0.012121212121212121,11.966896488657698,1.0,Bottom,0.0,0.0
158,0.0,0.012121212121212121,12.17684204109029,1.0,Bottom,0.0,0.0
159,0.0,0.012121212121212121,12.38678759352288,1.0,Bottom,0.0,0.0
160,0.0,0.012121212121212121,12.596733145955472,1.0,Bottom,0.0,0.0
161,0.0,0.012121212121212121,12.806678698388064,1.0,Bottom,0.0,0.0
162,0.0,0.012121212121212121,13.016624250820653,1.0,Bottom,0.0,0.0
163,0.0,0.012121212121212121,13.226569803253245,1.0,Bottom,0.0,0.0
164,0.0,0.012121212121212121,13.436515355685836,1.0,Bottom,0.0,0.0
165,0.0,0.012121212121212121,13.646460908118428,1.0,Bottom,0.0,0.0
166,0.0,0.012121212121212121,13.85640646055102,1.0,Bottom,0.0,0.0
167,0.0,0.012121212121212121,14.066352012983609,1.0,Bottom,0.0,0.0
168,0.0,0.012121212121212121,14.2762975654162,1.0,Bottom,0.0,0.0
169,0.0,0.012121212121212121,14.486243117848792,1.0,Bottom,0.0,0.0
170,0.0,0.012121212121212121,14.696188670281384,1.0,Bottom,0.0,0.0
171,0.0,0.012121212121212121,14.906134222713975,1.0,Bottom,0.0,0.0
172,0.0,0.012121212121212121,15.116079775146567,1.0,Bottom,0.0,0.0
173,0.0,0.012121212121212121,15.326025327579156,1.0,Bottom,0.0,0.0
174,0.0,0.012121212121212121,15.535970880011748,1.0,Bottom,0.0,0.0
175,0.0,0.012121212121212121,15.74591643244434,1.0,Bottom,0.0,0.0
176,0.0,0.012121212121212121,15.95586198487693,1.0,Bottom,0.0,0.0
177,0.0,0.012121212121212121,16.165807537309522,1.0,Bottom,0.0,0.0
178,0.0,0.012121212121212121,16.375753089742112,1.0,Bottom,0.0,0.0
179,0.0,0.012121212121212121,16.585698642174705,1.0,Bottom,0.0,0.0
180,0.0,0.012121212121212121,16.795644194607295,1.0,Bottom,0.0,0.0
