,Meta,c,a,N_ss,SS_pos,Cdk1_Period,Cdk1_Amplitude
79,0.0,0.0,5.595234361828586,0.0,0.0,0.0,0.0
80,0.0,0.0,5.6660601132441375,0.0,0.0,0.0,0.0
81,0.0,0.0,5.73688586465969,0.0,0.0,0.0,0.0
82,0.0,0.0,5.807711616075242,0.0,0.0,0.0,0.0
83,0.0,0.0,5.878537367490793,0.0,0.0,0.0,0.0
84,0.0,0.0,5.949363118906345,0.0,0.0,0.0,0.0
85,0.0,0.0,6.020188870321896,0.0,0.0,0.0,0.0
86,0.0,0.0,6.091014621737449,0.0,0.0,0.0,0.0
87,0.0,0.0,6.161840373153,0.0,0.0,0.0,0.0
88,0.0,0.0,6.232666124568552,0.0,0.0,0.0,0.0
89,0.0,0.0,6.303491875984103,0.0,0.0,0.0,0.0
90,0.0,0.0,6.374317627399655,0.0,0.0,0.0,0.0
91,0.0,0.0,6.445143378815207,0.0,0.0,0.0,0.0
92,0.0,0.0,6.515969130230759,0.0,0.0,0.0,0.0
93,0.0,0.0,6.58679488164631,0.0,0.0,0.0,0.0
94,0.0,0.0,6.657620633061862,0.0,0.0,0.0,0.0
95,0.0,0.0,6.728446384477413,0.0,0.0,0.0,0.0
96,0.0,0.0,6.7992721358929655,0.0,0.0,0.0,0.0
97,0.0,0.0,6.870097887308518,0.0,0.0,0.0,0.0
98,0.0,0.0,6.940923638724069,0.0,0.0,0.0,0.0
99,0.0,0.0,7.011749390139621,0.0,0.0,0.0,0.0
100,0.0,0.0,7.082575141555172,0.0,0.0,0.0,0.0
101,0.0,0.0,7.1534008929707245,0.0,0.0,0.0,0.0
102,0.0,0.0,7.224226644386276,0.0,0.0,0.0,0.0
103,0.0,0.0,7.295052395801828,0.0,0.0,0.0,0.0
104,0.0,0.0,7.365878147217379,0.0,0.0,0.0,0.0
105,0.0,0.0,7.436703898632931,0.0,0.0,0.0,0.0
106,0.0,0.0,7.5075296500484825,0.0,0.0,0.0,0.0
107,0.0,0.0,7.578355401464035,0.0,0.0,0.0,0.0
108,0.0,0.0,7.649181152879586,0.0,0.0,0.0,0.0
109,0.0,0.0,7.720006904295138,0.0,0.0,0.0,0.0
110,0.0,0.0,7.790832655710689,0.0,0.0,0.0,0.0
111,0.0,0.0,7.861658407126241,0.0,0.0,0.0,0.0
112,0.0,0.0,7.932484158541794,0.0,0.0,0.0,0.0
113,0.0,0.0,8.003309909957345,0.0,0.0,0.0,0.0
114,0.0,0.0,8.074135661372896,0.0,0.0,0.0,0.0
115,0.0,0.0,8.144961412788449,0.0,0.0,0.0,0.0
116,0.0,0.0,8.215787164204,0.0,0.0,0.0,0.0
117,0.0,0.0,8.286612915619552,0.0,0.0,0.0,0.0
