,Meta,t_g2,delta_t_g2,Delay_M
0,n = 15,3577.0,0.0,1290.0
1,r = 0.5,3577.0,12.820512820512821,1290.0
2,a_apc = 5,3577.0,25.641025641025642,1290.0
3,a_cdk = 5,3577.0,38.46153846153847,1290.0
4,a_e2f = 5,3577.0,51.282051282051285,1290.0
5,deld = 0.05,3577.0,64.1025641025641,1290.0
6,delb = 0.05,3577.0,76.92307692307693,1290.0
7,eps_apc = 100,3577.0,89.74358974358975,1290.0
8,eps_cdk = 100,3577.0,102.56410256410257,1290.0
9,eps_e2f = 100,3577.0,115.38461538461539,1290.0
10,Kd = 120,3577.0,128.2051282051282,1290.0
11,Kb = 40,3577.0,141.02564102564102,1290.0
12,Kcdk = 20,3577.0,153.84615384615387,1290.0
13,dsyn = 0.15,3577.0,166.66666666666669,1290.0
14,ddeg = 0.009,3577.0,179.4871794871795,1290.0
15,bsyn = 0.03,3577.0,192.30769230769232,1290.0
16,bdeg = 0.003,3577.0,205.12820512820514,1290.0
17,tstart = 0,3577.0,217.94871794871796,1290.0
18,tend = 20000,3577.0,230.76923076923077,1290.0
19,dt_max = 10,3577.0,243.5897435897436,1290.0
20,0.0,3577.0,256.4102564102564,1290.0
21,0.0,3577.0,269.2307692307692,1290.0
22,0.0,3577.0,282.05128205128204,1290.0
23,0.0,3577.0,294.87179487179486,1290.0
24,0.0,3577.0,307.69230769230774,1290.0
25,0.0,3577.0,320.51282051282055,1290.0
26,0.0,3577.0,333.33333333333337,1290.0
27,0.0,3577.0,346.1538461538462,1290.0
28,0.0,3577.0,358.974358974359,1290.0
29,0.0,3577.0,371.7948717948718,1290.0
30,0.0,3577.0,384.61538461538464,1290.0
31,0.0,3577.0,397.43589743589746,1290.0
32,0.0,3577.0,410.2564102564103,1290.0
33,0.0,3577.0,423.0769230769231,1290.0
34,0.0,3577.0,435.8974358974359,1290.0
35,0.0,3577.0,448.71794871794873,1290.0
36,0.0,3577.0,461.53846153846155,1290.0
37,0.0,3577.0,474.35897435897436,1290.0
38,0.0,3577.0,487.1794871794872,1290.0
39,0.0,3577.0,500.0,1290.0
40,0.0,3592.4871794871797,0.0,1290.0
41,0.0,3592.4871794871797,12.820512820512821,1290.0
42,0.0,3592.4871794871797,25.641025641025642,1290.0
43,0.0,3592.4871794871797,38.46153846153847,1290.0
44,0.0,3592.4871794871797,51.282051282051285,1290.0
45,0.0,3592.4871794871797,64.1025641025641,1290.0
46,0.0,3592.4871794871797,76.92307692307693,1290.0
47,0.0,3592.4871794871797,89.74358974358975,1290.0
48,0.0,3592.4871794871797,102.56410256410257,1290.0
49,0.0,3592.4871794871797,115.38461538461539,1290.0
50,0.0,3592.4871794871797,128.2051282051282,1290.0
51,0.0,3592.4871794871797,141.02564102564102,1290.0
52,0.0,3592.4871794871797,153.84615384615387,1290.0
53,0.0,3592.4871794871797,166.66666666666669,1290.0
54,0.0,3592.4871794871797,179.4871794871795,1290.0
55,0.0,3592.4871794871797,192.30769230769232,1290.0
56,0.0,3592.4871794871797,205.12820512820514,1290.0
57,0.0,3592.4871794871797,217.94871794871796,1290.0
58,0.0,3592.4871794871797,230.76923076923077,1290.0
59,0.0,3592.4871794871797,243.5897435897436,1290.0
60,0.0,3592.4871794871797,256.4102564102564,1290.0
61,0.0,3592.4871794871797,269.2307692307692,1290.0
62,0.0,3592.4871794871797,282.05128205128204,1290.0
63,0.0,3592.4871794871797,294.87179487179486,1290.0
64,0.0,3592.4871794871797,307.69230769230774,1290.0
65,0.0,3592.4871794871797,320.51282051282055,1290.0
66,0.0,3592.4871794871797,333.33333333333337,1290.0
67,0.0,3592.4871794871797,346.1538461538462,1290.0
68,0.0,3592.4871794871797,358.974358974359,1290.0
69,0.0,3592.4871794871797,371.7948717948718,1290.0
70,0.0,3592.4871794871797,384.61538461538464,1290.0
71,0.0,3592.4871794871797,397.43589743589746,1290.0
72,0.0,3592.4871794871797,410.2564102564103,1290.0
73,0.0,3592.4871794871797,423.0769230769231,1290.0
74,0.0,3592.4871794871797,435.8974358974359,1290.0
75,0.0,3592.4871794871797,448.71794871794873,1290.0
76,0.0,3592.4871794871797,461.53846153846155,1290.0
77,0.0,3592.4871794871797,474.35897435897436,1290.0
78,0.0,3592.4871794871797,487.1794871794872,1290.0
79,0.0,3592.4871794871797,500.0,1290.0
80,0.0,3607.974358974359,0.0,1290.0
81,0.0,3607.974358974359,12.820512820512821,1290.0
82,0.0,3607.974358974359,25.641025641025642,1290.0
83,0.0,3607.974358974359,38.46153846153847,1290.0
84,0.0,3607.974358974359,51.282051282051285,1290.0
85,0.0,3607.974358974359,64.1025641025641,1290.0
86,0.0,3607.974358974359,76.92307692307693,1290.0
87,0.0,3607.974358974359,89.74358974358975,1290.0
88,0.0,3607.974358974359,102.56410256410257,1290.0
89,0.0,3607.974358974359,115.38461538461539,1290.0
90,0.0,3607.974358974359,128.2051282051282,1290.0
91,0.0,3607.974358974359,141.02564102564102,1290.0
92,0.0,3607.974358974359,153.84615384615387,1290.0
93,0.0,3607.974358974359,166.66666666666669,1290.0
94,0.0,3607.974358974359,179.4871794871795,1290.0
95,0.0,3607.974358974359,192.30769230769232,1290.0
