,Meta,dsyn,acdk,Period,G1,SG2,M,E2F Amplitude,APC Amplitude
0,n = 15,0.05,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1,r = 0.5,0.05,5.256410256410256,0.0,0.0,0.0,0.0,0.0,0.0
2,a_apc = 5,0.05,5.512820512820513,0.0,0.0,0.0,0.0,0.0,0.0
3,a_cdk = 15.0,0.05,5.769230769230769,0.0,0.0,0.0,0.0,0.0,0.0
4,ddeg = 0.009,0.05,6.0256410256410255,0.0,0.0,0.0,0.0,0.0,0.0
5,deld = 0.05,0.05,6.282051282051282,0.0,0.0,0.0,0.0,0.0,0.0
6,delb = 0.05,0.05,6.538461538461538,0.0,0.0,0.0,0.0,0.0,0.0
7,eps_apc = 100,0.05,6.794871794871795,0.0,0.0,0.0,0.0,0.0,0.0
8,eps_cdk = 100,0.05,7.051282051282051,0.0,0.0,0.0,0.0,0.0,0.0
9,eps_e2f = 100,0.05,7.3076923076923075,0.0,0.0,0.0,0.0,0.0,0.0
10,Kd = 120,0.05,7.564102564102564,0.0,0.0,0.0,0.0,0.0,0.0
11,Kb = 40,0.05,7.82051282051282,0.0,0.0,0.0,0.0,0.0,0.0
12,Kcdk = 20,0.05,8.076923076923077,0.0,0.0,0.0,0.0,0.0,0.0
13,bsyn = 0.03,0.05,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0
14,bdeg = 0.003,0.05,8.58974358974359,0.0,0.0,0.0,0.0,0.0,0.0
15,tstart = 0,0.05,8.846153846153847,0.0,0.0,0.0,0.0,0.0,0.0
16,tend = 20000,0.05,9.102564102564102,0.0,0.0,0.0,0.0,0.0,0.0
17,dt_max = 10,0.05,9.358974358974358,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.05,9.615384615384615,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.05,9.871794871794872,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.05,10.128205128205128,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.05,10.384615384615383,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.05,10.64102564102564,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.05,10.897435897435898,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.05,11.153846153846153,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.05,11.410256410256409,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.05,11.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.05,11.923076923076923,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.05,12.179487179487179,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.05,12.435897435897434,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.05,12.692307692307692,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.05,12.948717948717949,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.05,13.205128205128204,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.05,13.46153846153846,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.05,13.717948717948717,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.05,13.974358974358974,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.05,14.23076923076923,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.05,14.487179487179485,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.05,14.743589743589743,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.05,15.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.05337837837837838,5.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.05337837837837838,5.256410256410256,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.05337837837837838,5.512820512820513,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.05337837837837838,5.769230769230769,0.0,0.0,0.0,0.0,0.0,0.0
