,Meta,bsyn,bdeg,Period,G1,SG2,M,E2F Amplitude,APC Amplitude,RP
56,0.0,0.0,0.0028282828282828283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0028787878787878787,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.002929292929292929,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.00297979797979798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0030303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0030808080808080807,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0031313131313131315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.003181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0032323232323232323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0032828282828282827,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.003333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.003383838383838384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0034343434343434343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0034848484848484847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0035353535353535356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.003585858585858586,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0036363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0036868686868686868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.003737373737373737,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.003787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0038383838383838384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0038888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.00393939393939394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.00398989898989899,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.00404040404040404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.004090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.004141414141414141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.004191919191919192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.004242424242424242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.004292929292929293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.004343434343434344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.004393939393939394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0044444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.004494949494949495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.004545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.004595959595959596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.004646464646464647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.004696969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.004747474747474748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.004797979797979798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0048484848484848485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.004898989898989899,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.004949494949494949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.000505050505050505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,0.000505050505050505,5.0505050505050505e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,0.000505050505050505,0.00010101010101010101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,0.000505050505050505,0.00015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0.0,0.000505050505050505,0.00020202020202020202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,0.0,0.000505050505050505,0.0002525252525252525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,0.0,0.000505050505050505,0.00030303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0.0,0.000505050505050505,0.00035353535353535354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,0.0,0.000505050505050505,0.00040404040404040404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0.0,0.000505050505050505,0.00045454545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,0.0,0.000505050505050505,0.000505050505050505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,0.0,0.000505050505050505,0.0005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,0.0,0.000505050505050505,0.0006060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,0.0,0.000505050505050505,0.0006565656565656566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,0.0,0.000505050505050505,0.0007070707070707071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,0.0,0.000505050505050505,0.0007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,0.0,0.000505050505050505,0.0008080808080808081,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0.0,0.000505050505050505,0.0008585858585858586,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,0.000505050505050505,0.0009090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0.0,0.000505050505050505,0.0009595959595959596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,0.0,0.000505050505050505,0.00101010101010101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,0.0,0.000505050505050505,0.0010606060606060605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0.0,0.000505050505050505,0.0011111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0.0,0.000505050505050505,0.0011616161616161617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,0.0,0.000505050505050505,0.0012121212121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,0.0,0.000505050505050505,0.0012626262626262625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,0.0,0.000505050505050505,0.0013131313131313131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,0.0,0.000505050505050505,0.0013636363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,0.0,0.000505050505050505,0.0014141414141414141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0.0,0.000505050505050505,0.0014646464646464645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,0.0,0.000505050505050505,0.0015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,0.0,0.000505050505050505,0.0015656565656565658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,0.0,0.000505050505050505,0.0016161616161616162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,0.0,0.000505050505050505,0.0016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,0.0,0.000505050505050505,0.0017171717171717172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,0.0,0.000505050505050505,0.0017676767676767678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,0.0,0.000505050505050505,0.0018181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,0.0,0.000505050505050505,0.0018686868686868686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
