,Meta,tau,a,Cdk1_Period,Cdk1_Amplitude
105,0.0,0.0,14.646872600918023,0.0,0.0
106,0.0,0.0,14.786366625688672,0.0,0.0
107,0.0,0.0,14.92586065045932,0.0,0.0
108,0.0,0.0,15.065354675229967,0.0,0.0
109,0.0,0.0,15.204848700000616,0.0,0.0
110,0.0,0.0,15.344342724771263,0.0,0.0
111,0.0,0.0,15.483836749541911,0.0,0.0
112,0.0,0.0,15.623330774312558,0.0,0.0
113,0.0,0.0,15.762824799083207,0.0,0.0
114,0.0,0.0,15.902318823853854,0.0,0.0
115,0.0,0.0,16.041812848624502,0.0,0.0
116,0.0,0.0,16.18130687339515,0.0,0.0
117,0.0,0.0,16.320800898165796,0.0,0.0
118,0.0,0.0,16.460294922936445,0.0,0.0
119,0.0,0.0,16.599788947707093,0.0,0.0
120,0.0,0.0,16.739282972477742,0.0,0.0
121,0.0,0.0,16.87877699724839,0.0,0.0
122,0.0,0.0,17.018271022019036,0.0,0.0
123,0.0,0.0,17.157765046789685,0.0,0.0
124,0.0,0.0,17.297259071560333,0.0,0.0
125,0.0,0.0,17.436753096330982,0.0,0.0
126,0.0,0.0,17.576247121101627,0.0,0.0
127,0.0,0.0,17.715741145872276,0.0,0.0
128,0.0,0.0,17.855235170642924,0.0,0.0
129,0.0,0.0,17.994729195413573,0.0,0.0
130,0.0,0.0,18.13422322018422,0.0,0.0
131,0.0,0.0,18.273717244954867,0.0,0.0
132,0.0,0.0,18.413211269725515,0.0,0.0
133,0.0,0.0,18.552705294496164,0.0,0.0
134,0.0,0.0,18.692199319266813,0.0,0.0
135,0.0,0.0,18.831693344037458,0.0,0.0
136,0.0,0.0,18.971187368808106,0.0,0.0
137,0.0,0.0,19.110681393578755,0.0,0.0
138,0.0,0.0,19.250175418349404,0.0,0.0
139,0.0,0.0,19.389669443120052,0.0,0.0
140,0.0,0.0,19.529163467890697,0.0,0.0
141,0.0,0.0,19.668657492661346,0.0,0.0
142,0.0,0.0,19.808151517431995,0.0,0.0
143,0.0,0.0,19.947645542202643,0.0,0.0
