,Meta,tau,a,Apc_Period,Apc_Amplitude
0,n = 15,0.0,0.0,0.0,0.0
1,r = 0.5,0.0,0.13949402477064785,0.0,0.0
2,c = 0.5,0.0,0.2789880495412957,0.0,0.0
3,eps = 100,0.0,0.4184820743119435,0.0,0.0
4,tstart = 0,0.0,0.5579760990825914,0.0,0.0
5,tend = 200,0.0,0.6974701238532393,0.0,0.0
6,dt = 0.01,0.0,0.836964148623887,0.0,0.0
7,0.0,0.0,0.9764581733945349,0.0,0.0
8,0.0,0.0,1.1159521981651828,0.3299999999999983,0.19806022100667703
9,0.0,0.0,1.2554462229358305,0.3499999999999943,0.384038390169693
10,0.0,0.0,1.3949402477064785,0.37999999999999545,0.48658253566519805
11,0.0,0.0,1.5344342724771263,0.4200000000000017,0.558371988526625
12,0.0,0.0,1.673928297247774,0.46999999999999886,0.6128987408523269
13,0.0,0.0,1.813422322018422,0.519999999999996,0.6558151047467639
14,0.0,0.0,1.9529163467890698,0.5699999999999932,0.6910526129484862
15,0.0,0.0,2.0924103715597178,0.6200000000000045,0.7204109977292614
16,0.0,0.0,2.2319043963303655,0.6799999999999926,0.7452507411564117
17,0.0,0.0,2.3713984211010133,0.7300000000000004,0.7669224391895898
18,0.0,0.0,2.510892445871661,0.789999999999992,0.7857561395644506
19,0.0,0.0,2.6503864706423093,0.8400000000000034,0.8023463853056878
20,0.0,0.0,2.789880495412957,0.9000000000000057,0.81715175703658
21,0.0,0.0,2.929374520183605,0.9600000000000009,0.8303977555371826
22,0.0,0.0,3.0688685449542525,1.0199999999999996,0.8422639990158939
23,0.0,0.0,3.2083625697249003,1.0799999999999983,0.8531512085620331
24,0.0,0.0,3.347856594495548,1.1400000000000006,0.8630129898196135
25,0.0,0.0,3.4873506192661963,1.2000000000000028,0.871882522830157
26,0.0,0.0,3.626844644036844,1.2600000000000193,0.8801769124855179
27,0.0,0.0,3.766338668807492,1.3299999999999983,0.8878080339805305
28,0.0,0.0,3.9058326935781396,1.3900000000000006,0.894708650166846
29,0.0,0.0,4.045326718348788,1.450000000000017,0.9012890580318429
30,0.0,0.0,4.1848207431194355,1.5199999999999996,0.9072784323840645
31,0.0,0.0,4.324314767890083,1.5800000000000125,0.9128808876686278
32,0.0,0.0,4.463808792660731,1.6500000000000057,0.9180951668496908
33,0.0,0.0,4.603302817431379,1.7199999999999989,0.9229956223481237
34,0.0,0.0,4.742796842202027,1.789999999999992,0.9275528282464585
35,0.0,0.0,4.882290866972674,1.8599999999999994,0.931823313082984
36,0.0,0.0,5.021784891743322,1.9299999999999962,0.9357404446460227
37,0.0,0.0,5.16127891651397,2.0,0.9395095266528367
38,0.0,0.0,5.3007729412846185,2.0700000000000003,0.9430232940015616
39,0.0,0.0,5.440266966055266,2.140000000000015,0.9463481094955271
40,0.0,0.0,5.579760990825914,2.219999999999999,0.949464304890139
41,0.0,0.0,5.719255015596562,2.299999999999997,0.9523741328893126
42,0.0,0.0,5.85874904036721,2.3799999999999955,0.9551206657541939
43,0.0,0.0,5.998243065137857,2.4599999999999937,0.9577440222362078
44,0.0,0.0,6.137737089908505,2.539999999999999,0.9602124162116248
45,0.0,0.0,6.277231114679153,2.6200000000000045,0.9624787049978618
46,0.0,0.0,6.416725139449801,2.710000000000001,0.9646573391041556
47,0.0,0.0,6.556219164220448,2.8000000000000007,0.9667118215374928
48,0.0,0.0,6.695713188991096,2.890000000000015,0.9686409962968148
49,0.0,0.0,6.835207213761745,2.990000000000002,0.9704511093796587
50,0.0,0.0,6.9747012385323925,3.0900000000000034,0.97214061037648
51,0.0,0.0,7.11419526330304,3.1999999999999957,0.9737622592572213
52,0.0,0.0,7.253689288073688,3.3100000000000023,0.9752828035839264
53,0.0,0.0,7.393183312844336,3.4299999999999944,0.9766885215584893
54,0.0,0.0,7.532677337614984,3.5500000000000043,0.9780339339036194
55,0.0,0.0,7.672171362385631,3.6899999999999977,0.979271263972268
56,0.0,0.0,7.811665387156279,3.8400000000000034,0.9804439621473765
57,0.0,0.0,7.951159411926927,4.009999999999998,0.9815597921721153
