,Meta,c,tau,Cdk1_Period,Cdk1_Amplitude
103,0.0,0.010084033613445377,0.09090909090909091,0.0,0.0
104,0.0,0.010084033613445377,0.12121212121212122,0.0,0.0
105,0.0,0.010084033613445377,0.15151515151515152,0.0,0.0
106,0.0,0.010084033613445377,0.18181818181818182,0.0,0.0
107,0.0,0.010084033613445377,0.21212121212121213,0.0,0.0
108,0.0,0.010084033613445377,0.24242424242424243,0.0,0.0
109,0.0,0.010084033613445377,0.2727272727272727,0.0,0.0
110,0.0,0.010084033613445377,0.30303030303030304,0.0,0.0
111,0.0,0.010084033613445377,0.33333333333333337,0.0,0.0
112,0.0,0.010084033613445377,0.36363636363636365,0.0,0.0
113,0.0,0.010084033613445377,0.3939393939393939,0.0,0.0
114,0.0,0.010084033613445377,0.42424242424242425,0.0,0.0
115,0.0,0.010084033613445377,0.4545454545454546,0.0,0.0
116,0.0,0.010084033613445377,0.48484848484848486,0.0,0.0
117,0.0,0.010084033613445377,0.5151515151515151,0.0,0.0
118,0.0,0.010084033613445377,0.5454545454545454,0.0,0.0
119,0.0,0.010084033613445377,0.5757575757575758,0.0,0.0
120,0.0,0.010084033613445377,0.6060606060606061,0.0,0.0
121,0.0,0.010084033613445377,0.6363636363636364,0.0,0.0
122,0.0,0.010084033613445377,0.6666666666666667,0.0,0.0
123,0.0,0.010084033613445377,0.696969696969697,0.0,0.0
124,0.0,0.010084033613445377,0.7272727272727273,0.0,0.0
125,0.0,0.010084033613445377,0.7575757575757576,0.0,0.0
126,0.0,0.010084033613445377,0.7878787878787878,0.0,0.0
127,0.0,0.010084033613445377,0.8181818181818182,0.0,0.0
128,0.0,0.010084033613445377,0.8484848484848485,0.0,0.0
129,0.0,0.010084033613445377,0.8787878787878788,0.0,0.0
130,0.0,0.010084033613445377,0.9090909090909092,0.0,0.0
131,0.0,0.010084033613445377,0.9393939393939394,0.0,0.0
132,0.0,0.010084033613445377,0.9696969696969697,0.0,0.0
133,0.0,0.010084033613445377,1.0,0.0,0.0
134,0.0,0.010084033613445377,1.0303030303030303,0.0,0.0
135,0.0,0.010084033613445377,1.0606060606060606,0.0,0.0
136,0.0,0.010084033613445377,1.0909090909090908,0.0,0.0
137,0.0,0.010084033613445377,1.1212121212121213,0.0,0.0
138,0.0,0.010084033613445377,1.1515151515151516,0.0,0.0
139,0.0,0.010084033613445377,1.1818181818181819,0.0,0.0
140,0.0,0.010084033613445377,1.2121212121212122,0.0,0.0
141,0.0,0.010084033613445377,1.2424242424242424,0.0,0.0
142,0.0,0.010084033613445377,1.2727272727272727,0.0,0.0
143,0.0,0.010084033613445377,1.303030303030303,0.0,0.0
144,0.0,0.010084033613445377,1.3333333333333335,0.0,0.0
145,0.0,0.010084033613445377,1.3636363636363638,0.0,0.0
146,0.0,0.010084033613445377,1.393939393939394,0.0,0.0
147,0.0,0.010084033613445377,1.4242424242424243,0.0,0.0
148,0.0,0.010084033613445377,1.4545454545454546,0.0,0.0
149,0.0,0.010084033613445377,1.4848484848484849,0.0,0.0
150,0.0,0.010084033613445377,1.5151515151515151,0.0,0.0
151,0.0,0.010084033613445377,1.5454545454545454,0.0,0.0
152,0.0,0.010084033613445377,1.5757575757575757,0.0,0.0
153,0.0,0.010084033613445377,1.6060606060606062,0.0,0.0
154,0.0,0.010084033613445377,1.6363636363636365,0.0,0.0
155,0.0,0.010084033613445377,1.6666666666666667,0.0,0.0
156,0.0,0.010084033613445377,1.696969696969697,0.0,0.0
157,0.0,0.010084033613445377,1.7272727272727273,0.0,0.0
158,0.0,0.010084033613445377,1.7575757575757576,0.0,0.0
159,0.0,0.010084033613445377,1.7878787878787878,0.0,0.0
160,0.0,0.010084033613445377,1.8181818181818183,0.0,0.0
161,0.0,0.010084033613445377,1.8484848484848486,0.0,0.0
162,0.0,0.010084033613445377,1.878787878787879,0.0,0.0
163,0.0,0.010084033613445377,1.9090909090909092,0.0,0.0
164,0.0,0.010084033613445377,1.9393939393939394,0.0,0.0
165,0.0,0.010084033613445377,1.9696969696969697,0.0,0.0
166,0.0,0.010084033613445377,2.0,0.0,0.0
167,0.0,0.010084033613445377,2.0303030303030303,0.0,0.0
168,0.0,0.010084033613445377,2.0606060606060606,0.0,0.0
169,0.0,0.010084033613445377,2.090909090909091,0.0,0.0
170,0.0,0.010084033613445377,2.121212121212121,0.0,0.0
171,0.0,0.010084033613445377,2.1515151515151514,0.0,0.0
172,0.0,0.010084033613445377,2.1818181818181817,0.0,0.0
173,0.0,0.010084033613445377,2.2121212121212124,0.0,0.0
174,0.0,0.010084033613445377,2.2424242424242427,0.0,0.0
175,0.0,0.010084033613445377,2.272727272727273,0.0,0.0
176,0.0,0.010084033613445377,2.303030303030303,0.0,0.0
177,0.0,0.010084033613445377,2.3333333333333335,0.0,0.0
178,0.0,0.010084033613445377,2.3636363636363638,0.0,0.0
179,0.0,0.010084033613445377,2.393939393939394,0.0,0.0
180,0.0,0.010084033613445377,2.4242424242424243,0.0,0.0
181,0.0,0.010084033613445377,2.4545454545454546,0.0,0.0
182,0.0,0.010084033613445377,2.484848484848485,0.0,0.0
183,0.0,0.010084033613445377,2.515151515151515,0.0,0.0
184,0.0,0.010084033613445377,2.5454545454545454,0.0,0.0
185,0.0,0.010084033613445377,2.5757575757575757,0.0,0.0
186,0.0,0.010084033613445377,2.606060606060606,0.0,0.0
187,0.0,0.010084033613445377,2.6363636363636362,0.0,0.0
188,0.0,0.010084033613445377,2.666666666666667,0.0,0.0
189,0.0,0.010084033613445377,2.6969696969696972,0.0,0.0
190,0.0,0.010084033613445377,2.7272727272727275,0.0,0.0
191,0.0,0.010084033613445377,2.757575757575758,0.0,0.0
192,0.0,0.010084033613445377,2.787878787878788,0.0,0.0
193,0.0,0.010084033613445377,2.8181818181818183,0.0,0.0
194,0.0,0.010084033613445377,2.8484848484848486,0.0,0.0
195,0.0,0.010084033613445377,2.878787878787879,0.0,0.0
196,0.0,0.010084033613445377,2.909090909090909,0.0,0.0
197,0.0,0.010084033613445377,2.9393939393939394,0.0,0.0
198,0.0,0.010084033613445377,2.9696969696969697,0.0,0.0
199,0.0,0.010084033613445377,3.0,0.0,0.0
200,0.0,0.020168067226890754,0.0,0.0,0.0
201,0.0,0.020168067226890754,0.030303030303030304,0.0,0.0
202,0.0,0.020168067226890754,0.06060606060606061,0.0,0.0
203,0.0,0.020168067226890754,0.09090909090909091,0.0,0.0
204,0.0,0.020168067226890754,0.12121212121212122,0.0,0.0
205,0.0,0.020168067226890754,0.15151515151515152,0.0,0.0
206,0.0,0.020168067226890754,0.18181818181818182,0.0,0.0
207,0.0,0.020168067226890754,0.21212121212121213,0.0,0.0
208,0.0,0.020168067226890754,0.24242424242424243,0.0,0.0
209,0.0,0.020168067226890754,0.2727272727272727,0.0,0.0
210,0.0,0.020168067226890754,0.30303030303030304,0.0,0.0
