,Meta,Omega,A_a,subcycles_osc,p/q,Locking
0,n = 15,0.0013339651523714123,6.0,0.0,0.0,0.0
1,r = 0.5,0.0013339651523714123,6.222222222222222,0.0,0.0,0.0
2,a_apc = 5,0.0013339651523714123,6.444444444444445,0.0,0.0,0.0
3,a_cdk = 5,0.0013339651523714123,6.666666666666667,0.0,0.0,0.0
4,a_e2f = 5,0.0013339651523714123,6.888888888888889,0.0,0.0,0.0
5,deld = 0.05,0.0013339651523714123,7.111111111111111,0.0,0.0,0.0
6,delb = 0.05,0.0013339651523714123,7.333333333333333,0.0,0.0,0.0
7,eps_apc = 100,0.0013339651523714123,7.555555555555555,0.0,0.0,0.0
8,eps_cdk = 100,0.0013339651523714123,7.777777777777778,0.0,0.0,0.0
9,eps_e2f = 100,0.0013339651523714123,8.0,0.0,0.0,0.0
10,Kd = 120,0.0013561979049109359,6.0,0.0,0.0,0.0
11,Kb = 40,0.0013561979049109359,6.222222222222222,0.0,0.0,0.0
12,Kcdk = 20,0.0013561979049109359,6.444444444444445,0.0,0.0,0.0
13,dsyn = 0.15,0.0013561979049109359,6.666666666666667,0.0,0.0,0.0
14,ddeg = 0.009,0.0013561979049109359,6.888888888888889,0.0,0.0,0.0
15,tstart = 0,0.0013561979049109359,7.111111111111111,0.0,0.0,0.0
16,tend = 45000,0.0013561979049109359,7.333333333333333,0.0,0.0,0.0
17,t_incr_max = 10,0.0013561979049109359,7.555555555555555,0.0,0.0,0.0
18,pmax = 5,0.0013561979049109359,7.777777777777778,3.0,2/1,2.0
19,p_err = 0.005,0.0013561979049109359,8.0,0.0,0.0,0.0
20,0.0,0.0013784306574504592,6.0,0.0,0.0,0.0
21,0.0,0.0013784306574504592,6.222222222222222,0.0,0.0,0.0
22,0.0,0.0013784306574504592,6.444444444444445,0.0,0.0,0.0
23,0.0,0.0013784306574504592,6.666666666666667,0.0,0.0,0.0
24,0.0,0.0013784306574504592,6.888888888888889,0.0,0.0,0.0
25,0.0,0.0013784306574504592,7.111111111111111,0.0,0.0,0.0
26,0.0,0.0013784306574504592,7.333333333333333,0.0,0.0,0.0
27,0.0,0.0013784306574504592,7.555555555555555,0.0,0.0,0.0
28,0.0,0.0013784306574504592,7.777777777777778,0.0,0.0,0.0
29,0.0,0.0013784306574504592,8.0,0.0,0.0,0.0
30,0.0,0.0014006634099899828,6.0,0.0,0.0,0.0
31,0.0,0.0014006634099899828,6.222222222222222,0.0,0.0,0.0
32,0.0,0.0014006634099899828,6.444444444444445,0.0,0.0,0.0
33,0.0,0.0014006634099899828,6.666666666666667,0.0,0.0,0.0
34,0.0,0.0014006634099899828,6.888888888888889,0.0,0.0,0.0
35,0.0,0.0014006634099899828,7.111111111111111,0.0,0.0,0.0
36,0.0,0.0014006634099899828,7.333333333333333,0.0,0.0,0.0
37,0.0,0.0014006634099899828,7.555555555555555,0.0,0.0,0.0
38,0.0,0.0014006634099899828,7.777777777777778,0.0,0.0,0.0
39,0.0,0.0014006634099899828,8.0,0.0,0.0,0.0
40,0.0,0.0014228961625295064,6.0,0.0,0.0,0.0
41,0.0,0.0014228961625295064,6.222222222222222,0.0,0.0,0.0
42,0.0,0.0014228961625295064,6.444444444444445,0.0,0.0,0.0
43,0.0,0.0014228961625295064,6.666666666666667,0.0,0.0,0.0
44,0.0,0.0014228961625295064,6.888888888888889,0.0,0.0,0.0
45,0.0,0.0014228961625295064,7.111111111111111,0.0,0.0,0.0
46,0.0,0.0014228961625295064,7.333333333333333,0.0,0.0,0.0
47,0.0,0.0014228961625295064,7.555555555555555,0.0,0.0,0.0
48,0.0,0.0014228961625295064,7.777777777777778,0.0,0.0,0.0
49,0.0,0.0014228961625295064,8.0,0.0,0.0,0.0
50,0.0,0.00144512891506903,6.0,0.0,0.0,0.0
51,0.0,0.00144512891506903,6.222222222222222,0.0,0.0,0.0
52,0.0,0.00144512891506903,6.444444444444445,0.0,0.0,0.0
53,0.0,0.00144512891506903,6.666666666666667,0.0,0.0,0.0
54,0.0,0.00144512891506903,6.888888888888889,0.0,0.0,0.0
55,0.0,0.00144512891506903,7.111111111111111,0.0,0.0,0.0
56,0.0,0.00144512891506903,7.333333333333333,0.0,0.0,0.0
57,0.0,0.00144512891506903,7.555555555555555,0.0,0.0,0.0
58,0.0,0.00144512891506903,7.777777777777778,0.0,0.0,0.0
59,0.0,0.00144512891506903,8.0,0.0,0.0,0.0
60,0.0,0.0014673616676085537,6.0,3.0,2/1,2.0
61,0.0,0.0014673616676085537,6.222222222222222,0.0,0.0,0.0
62,0.0,0.0014673616676085537,6.444444444444445,0.0,0.0,0.0
63,0.0,0.0014673616676085537,6.666666666666667,0.0,0.0,0.0
64,0.0,0.0014673616676085537,6.888888888888889,0.0,0.0,0.0
65,0.0,0.0014673616676085537,7.111111111111111,0.0,0.0,0.0
66,0.0,0.0014673616676085537,7.333333333333333,0.0,0.0,0.0
67,0.0,0.0014673616676085537,7.555555555555555,0.0,0.0,0.0
68,0.0,0.0014673616676085537,7.777777777777778,0.0,0.0,0.0
69,0.0,0.0014673616676085537,8.0,0.0,0.0,0.0
70,0.0,0.001489594420148077,6.0,0.0,0.0,0.0
71,0.0,0.001489594420148077,6.222222222222222,0.0,0.0,0.0
72,0.0,0.001489594420148077,6.444444444444445,0.0,0.0,0.0
73,0.0,0.001489594420148077,6.666666666666667,0.0,0.0,0.0
74,0.0,0.001489594420148077,6.888888888888889,0.0,0.0,0.0
75,0.0,0.001489594420148077,7.111111111111111,0.0,0.0,0.0
76,0.0,0.001489594420148077,7.333333333333333,0.0,0.0,0.0
