,Meta,Omega,A_a,subcycles_osc,p/q,Locking
0,n = 15,0.0013339651523714123,4.0,0.0,0.0,0.0
1,r = 0.5,0.0013339651523714123,4.222222222222222,0.0,0.0,0.0
2,a_apc = 5,0.0013339651523714123,4.444444444444445,0.0,0.0,0.0
3,a_cdk = 5,0.0013339651523714123,4.666666666666667,0.0,0.0,0.0
4,a_e2f = 5,0.0013339651523714123,4.888888888888889,0.0,0.0,0.0
5,deld = 0.05,0.0013339651523714123,5.111111111111111,0.0,0.0,0.0
6,delb = 0.05,0.0013339651523714123,5.333333333333333,0.0,0.0,0.0
7,eps_apc = 100,0.0013339651523714123,5.555555555555555,0.0,0.0,0.0
8,eps_cdk = 100,0.0013339651523714123,5.777777777777778,0.0,0.0,0.0
9,eps_e2f = 100,0.0013339651523714123,6.0,0.0,0.0,0.0
10,Kd = 120,0.0013561979049109359,4.0,0.0,0.0,0.0
11,Kb = 40,0.0013561979049109359,4.222222222222222,0.0,0.0,0.0
12,Kcdk = 20,0.0013561979049109359,4.444444444444445,0.0,0.0,0.0
13,dsyn = 0.15,0.0013561979049109359,4.666666666666667,0.0,0.0,0.0
14,ddeg = 0.009,0.0013561979049109359,4.888888888888889,0.0,0.0,0.0
15,tstart = 0,0.0013561979049109359,5.111111111111111,0.0,0.0,0.0
16,tend = 45000,0.0013561979049109359,5.333333333333333,0.0,0.0,0.0
17,t_incr_max = 10,0.0013561979049109359,5.555555555555555,0.0,0.0,0.0
18,pmax = 5,0.0013561979049109359,5.777777777777778,0.0,0.0,0.0
19,p_err = 0.005,0.0013561979049109359,6.0,0.0,0.0,0.0
20,0.0,0.0013784306574504592,4.0,2.0,1/1,1.0
21,0.0,0.0013784306574504592,4.222222222222222,2.0,1/1,1.0
22,0.0,0.0013784306574504592,4.444444444444445,0.0,0.0,0.0
23,0.0,0.0013784306574504592,4.666666666666667,0.0,0.0,0.0
24,0.0,0.0013784306574504592,4.888888888888889,0.0,0.0,0.0
25,0.0,0.0013784306574504592,5.111111111111111,0.0,0.0,0.0
26,0.0,0.0013784306574504592,5.333333333333333,0.0,0.0,0.0
27,0.0,0.0013784306574504592,5.555555555555555,0.0,0.0,0.0
28,0.0,0.0013784306574504592,5.777777777777778,0.0,0.0,0.0
29,0.0,0.0013784306574504592,6.0,0.0,0.0,0.0
30,0.0,0.0014006634099899828,4.0,2.0,1/1,1.0
31,0.0,0.0014006634099899828,4.222222222222222,0.0,0.0,0.0
32,0.0,0.0014006634099899828,4.444444444444445,0.0,0.0,0.0
33,0.0,0.0014006634099899828,4.666666666666667,0.0,0.0,0.0
34,0.0,0.0014006634099899828,4.888888888888889,0.0,0.0,0.0
35,0.0,0.0014006634099899828,5.111111111111111,0.0,0.0,0.0
36,0.0,0.0014006634099899828,5.333333333333333,0.0,0.0,0.0
37,0.0,0.0014006634099899828,5.555555555555555,0.0,0.0,0.0
38,0.0,0.0014006634099899828,5.777777777777778,0.0,0.0,0.0
39,0.0,0.0014006634099899828,6.0,0.0,0.0,0.0
40,0.0,0.0014228961625295064,4.0,0.0,0.0,0.0
41,0.0,0.0014228961625295064,4.222222222222222,0.0,0.0,0.0
42,0.0,0.0014228961625295064,4.444444444444445,0.0,0.0,0.0
43,0.0,0.0014228961625295064,4.666666666666667,0.0,0.0,0.0
